"contract_id","region_id","region_description","contract_year"
"R0802","1","Northern New England (New Hampshire and Maine)","2019"
"R0802","1","Northern New England (New Hampshire and Maine)","2019"
"R5329","1","Northern New England (New Hampshire and Maine)","2019"
"R5329","1","Northern New England (New Hampshire and Maine)","2019"
"R7444","2","Central New England (Connecticut  Massachusetts  Rhode Island  and Vermont)","2019"
"R7444","2","Central New England (Connecticut  Massachusetts  Rhode Island  and Vermont)","2019"
"R5342","3","New York","2019"
"R5342","3","New York","2019"
"R6694","4","New Jersey","2019"
"R6694","4","New Jersey","2019"
"R0923","6","Pennsylvania and West Virginia","2019"
"R0923","6","Pennsylvania  West Virginia","2019"
"R1390","7","North Carolina and Virginia","2019"
"R1390","7","Virginia","2019"
"R1548","7","North Carolina and Virginia","2019"
"R1548","7","Virginia","2019"
"R3392","8","Georgia and South Carolina","2019"
"R3392","8","North Carolina","2019"
"R7444","8","Georgia and South Carolina","2019"
"R7444","8","North Carolina","2019"
"R3332","9","Florida","2019"
"R3332","9","South Carolina","2019"
"R5826","9","Florida","2019"
"R5826","9","South Carolina","2019"
"R7444","9","Florida","2019"
"R7444","9","South Carolina","2019"
"R7315","10","Alabama and Tennessee","2019"
"R7315","10","Georgia","2019"
"R3887","11","Michigan","2019"
"R3887","11","Florida","2019"
"R5495","12","Ohio","2019"
"R5495","12","Alabama  Tennessee","2019"
"R5941","12","Ohio","2019"
"R5941","12","Alabama  Tennessee","2019"
"R6694","12","Ohio","2019"
"R6694","12","Alabama  Tennessee","2019"
"R0865","13","Indiana and Kentucky","2019"
"R0865","13","Michigan","2019"
"R4487","13","Indiana and Kentucky","2019"
"R4487","13","Michigan","2019"
"R5361","14","Illinois and Wisconsin","2019"
"R5361","14","Ohio","2019"
"R1532","15","Arkansas and Missouri","2019"
"R1532","15","Indiana  Kentucky","2019"
"R3444","15","Arkansas and Missouri","2019"
"R3444","15","Indiana  Kentucky","2019"
"R0110","16","Louisiana and Mississippi","2019"
"R0110","16","Wisconsin","2019"
"R4182","17","Texas","2019"
"R4182","17","Illinois","2019"
"R6801","17","Texas","2019"
"R6801","17","Illinois","2019"
"R4845","18","Kansas and Oklahoma","2019"
"R4845","18","Missouri","2019"
"R7220","21","Arizona","2019"
"R7220","21","Louisiana","2019"
"R3175","25","Hawaii","2019"
"R3175","25","Upper Midwest and Northern Plains (Iowa  Minnesota  Montana  Nebraska  North Dakota  South Dakota and Wyoming)","2019"
